,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
514,Marvin Williams,PF,33,TOT,58,1,1129,3.8,8.5,.446,1.8,5.0,.359,2.0,3.5,.568,1.6,1.8,.860,1.0,4.9,5.8,1.9,1.1,1.0,1.1,3.3,10.9
515,Robert Williams,C,22,BOS,29,1,388,5.9,8.2,.727,0.0,0.0,,5.9,8.2,.727,2.0,3.2,.647,3.7,8.2,11.9,2.5,2.0,3.2,1.9,4.7,13.9
516,Nigel Williams-Goss,PG,25,UTA,10,0,50,3.6,11.5,.313,1.4,5.0,.286,2.2,6.5,.333,1.4,1.4,1.000,1.4,2.9,4.3,4.3,2.2,0.7,2.2,4.3,10.1
517,Zion Williamson,PF,19,NOP,24,24,668,11.3,19.4,.583,0.3,0.8,.429,11.0,18.6,.590,6.1,9.6,.640,3.4,4.6,8.1,2.7,0.9,0.5,3.2,2.3,29.1
518,D.J. Wilson,PF,23,MIL,37,1,363,5.2,13.1,.394,1.8,7.2,.247,3.4,5.9,.576,1.1,1.8,.611,1.2,7.9,9.1,2.5,0.3,0.5,1.9,3.3,13.2
519,Justise Winslow,SG,23,MIA,11,5,352,5.1,13.2,.388,0.6,2.8,.222,4.5,10.4,.431,1.8,2.8,.667,1.6,5.8,7.5,4.5,0.7,0.5,2.5,3.9,12.7
520,Christian Wood,PF,24,DET,62,12,1325,7.8,13.8,.567,1.5,3.8,.386,6.4,10.0,.636,4.9,6.6,.744,2.8,7.8,10.6,1.6,0.9,1.5,2.3,2.7,22.0
521,Delon Wright,PG,27,DAL,73,5,1570,4.4,9.4,.462,1.1,2.9,.370,3.3,6.5,.504,1.8,2.3,.770,1.6,4.8,6.4,5.6,1.9,0.5,1.7,2.1,11.6
522,Justin Wright-Foreman,PG,22,UTA,4,0,45,5.6,16.0,.350,1.6,8.0,.200,4.0,8.0,.500,2.4,3.2,.750,0.0,4.0,4.0,5.6,1.6,0.0,2.4,4.0,15.2
523,Thaddeus Young,PF,31,CHI,64,16,1591,6.1,13.6,.448,1.8,5.0,.356,4.3,8.6,.501,1.0,1.6,.583,2.1,5.0,7.1,2.6,2.1,0.5,2.3,3.0,14.9
524,Trae Young,PG,21,ATL,60,60,2120,9.3,21.2,.437,3.5,9.6,.361,5.8,11.6,.501,8.2,9.5,.860,0.5,3.8,4.3,9.5,1.1,0.1,4.9,1.8,30.2
525,Cody Zeller,C,27,CHO,58,39,1341,6.7,12.9,.524,0.5,2.0,.240,6.3,10.8,.577,3.3,4.8,.682,4.3,6.7,11.0,2.4,1.1,0.7,2.0,3.8,17.2
526,Tyler Zeller,C,30,SAS,2,0,4,9.0,36.0,.250,0.0,0.0,,9.0,36.0,.250,0.0,0.0,,27.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,18.0
527,Ante Žižić,C,23,CLE,22,0,221,6.7,11.7,.569,0.0,0.0,,6.7,11.7,.569,2.3,3.1,.737,2.9,7.8,10.8,1.0,1.1,0.8,1.6,4.4,15.6
528,Ivica Zubac,C,22,LAC,72,70,1326,6.4,10.5,.613,0.0,0.1,.000,6.4,10.4,.616,3.4,4.5,.747,5.3,9.4,14.7,2.2,0.4,1.8,1.7,4.6,16.2
