,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
48,Keith Bogans,SF,29,SAS,79,50,1559,4.0,10.0,.403,2.4,6.6,.357,1.7,3.4,.490,1.2,1.7,.740,0.8,5.1,5.9,3.2,1.5,0.4,1.8,5.2,11.7,,106,106
49,Andrew Bogut,C,25,MIL,69,69,2229,11.1,21.4,.520,0.0,0.0,.000,11.1,21.3,.521,3.5,5.6,.629,4.9,11.6,16.5,3.0,0.9,4.1,3.1,5.2,25.7,,107,98
50,Matt Bonner,PF,29,SAS,65,8,1161,7.5,16.8,.446,4.1,10.4,.390,3.4,6.4,.539,1.6,2.2,.729,2.3,7.3,9.7,3.1,1.4,1.1,1.8,4.9,20.6,,117,104
51,Josh Boone,PF,25,NJN,63,28,1045,5.9,11.2,.525,0.0,0.0,,5.9,11.2,.525,1.0,2.9,.328,6.2,9.6,15.8,1.5,1.5,2.4,1.9,5.6,12.7,,107,107
52,Carlos Boozer,PF,28,UTA,78,78,2673,11.8,21.0,.562,0.0,0.0,,11.8,21.0,.562,5.5,7.4,.742,3.5,13.3,16.7,4.7,1.6,0.7,4.1,5.2,29.1,,112,102
53,Chris Bosh*,C,25,TOR,70,70,2526,12.3,23.6,.518,0.2,0.4,.364,12.1,23.2,.521,9.6,12.0,.797,4.2,11.3,15.5,3.4,0.9,1.4,3.5,3.5,34.3,,117,111
54,Ryan Bowen,SF,34,OKC,1,0,8,6.4,6.4,1.000,0.0,0.0,,6.4,6.4,1.000,12.9,12.9,1.000,6.4,6.4,12.9,0.0,6.4,0.0,0.0,12.9,25.8,,224,96
55,Earl Boykins,PG,33,WAS,67,1,1117,8.1,18.9,.427,0.9,2.8,.317,7.2,16.1,.446,3.6,4.2,.865,0.8,2.7,3.5,8.0,1.1,0.1,3.2,2.3,20.6,,103,114
56,Elton Brand,PF,30,PHI,76,57,2297,9.4,19.6,.480,0.0,0.0,.000,9.4,19.6,.481,3.9,5.3,.738,4.1,6.4,10.5,2.5,1.9,1.8,3.0,5.3,22.7,,104,109
57,Corey Brewer,SG,23,MIN,82,82,2482,8.2,19.1,.431,1.7,4.8,.346,6.6,14.3,.459,3.3,5.2,.648,1.4,4.2,5.6,3.9,2.4,0.6,3.3,4.5,21.5,,98,111
58,Ronnie Brewer,SG,24,TOT,58,53,1742,6.1,12.6,.487,0.2,0.9,.258,5.9,11.7,.505,2.5,3.9,.639,1.3,4.2,5.5,4.5,2.7,0.4,1.6,2.4,15.0,,110,106
59,Primož Brezec,C,30,TOT,21,0,95,5.0,14.3,.346,0.0,0.0,,5.0,14.3,.346,0.6,3.3,.167,6.6,7.2,13.8,0.6,0.6,1.7,1.1,10.5,10.5,,85,107
